Directory	ModuleID	ChipSN	RunNumber	RunType	Date	ConfigNumber	Threshold	Voltage	Triggers	EffRaw	EffSignal	EffCorrected	NoiseFraction	AverageRate	SignalRate	Time	ToTDrop	LowPixels	LowPixelsErr
data/cosmicData/MDBM-21/2013-09-21/cosmic_001296	MDBM-21	2216	1296	Efficiency	2013-09-21	8211	1106	500	100062	0.658472	0.653785	0.645546	0.0179764	111.111	71.3368	15.0093	0	9549.58	119.193
data/cosmicData/MDBM-21/2013-09-21/cosmic_001297	MDBM-21	2216	1297	Efficiency	2013-09-21	8211	1106	800	115327	0.894058	0.841407	0.696968	0.334048	112.529	63.0542	17.081	0	10129.4	108.559
data/cosmicData/MDBM-21/2013-09-21/cosmic_001298	MDBM-21	2216	1298	Efficiency	2013-09-21	8211	1106	999	99246	0.943806	0.882937	0.588863	0.571324	112.9	42.7318	14.6511	0	9849.59	109.832
data/cosmicData/MDBM-21/2013-09-22/cosmic_001299	MDBM-21	2216	1299	Unknown	2013-09-22	8211	1106	0	6464828	0.503115	0.413873	0.342802	0.2883	190.1	55.9948	566.79	0	-41.0653	26.4953
data/cosmicData/MDBM-21/2013-09-22/cosmic_001300	MDBM-21	2216	1300	Unknown	2013-09-22	8212	1204	0	8107	0.864068	0.838535	0.802335	0.112533	113.992	84.8299	1.18531	0	7432.1	135.229
data/cosmicData/MDBM-21/2013-09-22/cosmic_001301	MDBM-21	2216	1301	Efficiency	2013-09-22	8213	1204	1000	104905	0.843144	0.830084	0.811272	0.0590492	113.872	88.9416	15.3543	0	9895.39	107.476
data/cosmicData/MDBM-21/2013-09-22/cosmic_001302	MDBM-21	2216	1302	Efficiency	2013-09-22	8214	1502	1000	99722	0.807946	0.803213	0.796366	0.019626	112.672	88.7237	14.751	0	9974.59	110.399
data/cosmicData/MDBM-21/2013-09-23/cosmic_001307	MDBM-21	2216	1307	Occupancy	2013-09-23	8211	1106	500	670172	0.321674	0.312818	0.304464	0.048039	202.272	60.2348	55.2202	1	237.016	37.1349
data/cosmicData/MDBM-01/2013-08-23/cosmic_001116	MDBM-01	1688	1116	Occupancy	2013-08-23	5653	1105	900	8860	0.491084	0.482167	0.460793	0.068118	149.301	67.0844	0.989053	0	10103.1	144.769
data/cosmicData/MDBM-01/2013-08-23/cosmic_001117	MDBM-01	1688	1117	Occupancy	2013-08-23	5764	1104	700	2738839	0.505113	0.448296	0.361166	0.278092	134.332	43.4737	339.81	1	3844.94	68.1102
data/cosmicData/MDBM-01/2013-08-26/cosmic_001125	MDBM-01	1688	1125	Efficiency	2013-08-26	5769	1104	600	598204	0.739203	0.734408	0.728944	0.0137392	169.898	123.06	58.6827	0	10112.6	105.328
data/cosmicData/MDBM-01/2013-08-26/cosmic_001126	MDBM-01	1688	1126	Efficiency	2013-08-26	5771	1104	800	593919	0.837993	0.797939	0.679933	0.276261	171.677	99.1432	57.6587	0	10056.3	104.355
data/cosmicData/MDBM-01/2013-08-26/cosmic_001127	MDBM-01	1688	1127	Efficiency	2013-08-26	5772	1104	700	722620	0.817684	0.798637	0.766486	0.0797264	171.139	125.781	70.3737	0	9949.43	104.183
data/cosmicData/MDBM-01/2013-08-26/cosmic_001128	MDBM-01	1688	1128	Efficiency	2013-08-26	5774	1204	700	654658	0.813869	0.790834	0.737786	0.125957	169.18	116.941	64.4932	0	10061.8	104.981
data/cosmicData/MDBM-01/2013-08-26/cosmic_001129	MDBM-01	1688	1129	Efficiency	2013-08-26	5776	1494	700	604618	0.737519	0.731526	0.724711	0.0158514	170.507	122.753	59.1	0	10163.4	105.882
data/cosmicData/MDBM-01/2013-08-26/cosmic_001130	MDBM-01	1688	1130	Occupancy	2013-08-26	5772	1104	700	1013966	0.701047	0.585471	0.295882	0.665096	132.189	25.9191	127.843	1	8151.77	95.2103
data/cosmicData/MDBM-01/2013-08-26/cosmic_001131	MDBM-01	1688	1131	Occupancy	2013-08-26	5769	1104	600	3799236	0.53263	0.470422	0.3879	0.296558	140.673	46.5508	450.125	1	2922.06	60.4483
data/cosmicData/MDBM-01/2013-08-26/cosmic_011205	MDBM-01	1688	11205	Unknown	2013-08-26	5769	1104	0	27651	0.783805	0.777766	0.772762	0.0129731	171.303	131.505	2.69027	0	8925.16	118.558
data/cosmicData/MDBM-01/2013-09-05/cosmic_001170	MDBM-01	1688	1170	Occupancy	2013-09-05	6172	1104	600	10054948	0.450381	0.319591	0.193651	0.47435	311.138	52.269	538.612	0	3590.94	65.7419
data/cosmicData/MDBM-02/2013-08-12/cosmic_001070	MDBM-02	1684	1070	Occupancy	2013-08-12	4661	1208	1000	10115490	0.239468	0.231587	0.226074	0.0331194	352.896	79.0194	477.737	0	4082.77	69.4046
data/cosmicData/MDBM-02/2013-08-19/cosmic_001091	MDBM-02	1684	1091	Efficiency	2013-08-19	5054	1085	600	761005	0.66319	0.659884	0.654935	0.00998258	205.309	134.128	61.7772	0	9900.4	104.633
