Directory,ModuleID,ChipSN,RunNumber,RunType,Date,ConfigNumber,Threshold,Voltage,Triggers,EffRaw,EffSignal,EffCorrected,NoiseFraction,AverageRate,SignalRate,Time,ToTDrop,LowPixels,LowPixelsErr
data/cosmicData/MDBM-01/2013-08-26/cosmic_001131,MDBM-01,1688,1131,Occupancy,26/08/2013,5769,1104,600,3799236,0.53263,0.470422,0.3879,0.296558,140.673,46.5508,450.125,1,2922.06,60.4483
data/cosmicData/MDBM-02/2013-08-19/cosmic_001097,MDBM-02,1684,1097,Occupancy,19/08/2013,5058,1085,1000,5850716,0.530982,0.527838,0.524465,0.0107168,183.891,96.0244,530.272,1,3940.08,68.3886
data/cosmicData/MDBM-03/2013-08-13/cosmic_001075,MDBM-03,1692,1075,Occupancy,13/08/2013,4872,1091,800,9986809,0.577511,0.41678,0.243897,0.530331,348.302,68.1796,477.882,0,1597,48.3011
data/cosmicData/MDBM-04/2013-08-15/cosmic_001100,MDBM-04,1686,1100,Occupancy,15/08/2013,4034,1094,500,10020505,0.449252,0.355889,0.277605,0.326016,313.108,75.1031,533.39,0,1434.92,46.5725
data/cosmicData/MDBM-07/2013-08-14/cosmic_001086,MDBM-07,2193,1086,Occupancy,14/08/2013,4886,1102,900,10034219,0.157222,0.128403,0.106614,0.239782,348.881,34.0557,479.352,0,3793.73,67.4759
data/cosmicData/MDBM-08/2013-09-13/cosmic_001199,MDBM-08,2198,1199,Occupancy,13/09/2013,6965,1098,600,5369688,0.116269,0.114589,0.112395,0.0300095,168.856,18.7683,530.008,1,691.984,39.1024
data/cosmicData/MDBM-09/2013-08-02/cosmic_001031,MDBM-09,2187,1031,Occupancy,02/08/2013,3396,1111,900,2016463,0.295194,0.287722,0.275129,0.0752351,190.963,50.8106,175.99,0,177.984,31.8591
data/cosmicData/MDBM-106/2013-09-18/cosmic_001231,MDBM-106,0,1231,Occupancy,18/09/2013,7152,1093,700,2287370,0.348171,0.277645,0.219405,0.279817,215.037,42.9976,177.285,0,-83.2345,28.8097
data/cosmicData/MDBM-11/2013-08-15/cosmic_001091,MDBM-11,2192,1091,Occupancy,15/08/2013,4620,1205,700,6464673,0.285853,0.172548,0.0758432,0.627027,588.137,37.8499,183.197,1,5226.39,77.7046
data/cosmicData/MDBM-13/2013-08-10/cosmic_001064,MDBM-13,2229,1064,Occupancy,10/08/2013,4165,1104,550,10133918,0.151638,0.142245,0.135163,0.0757879,353.931,46.5294,477.207,0,761.84,39.2301
data/cosmicData/MDBM-15/2013-08-07/cosmic_001053,MDBM-15,2231,1053,Occupancy,07/08/2013,4085,1093,600,8864049,0.355789,0.265262,0.18421,0.417544,209.559,32.3776,704.977,1,7549.4,91.033
data/cosmicData/MDBM-16/2013-08-16/cosmic_002009,MDBM-16,2232,2009,Occupancy,16/08/2013,5024,1091,550,10054241,0.273273,0.182467,0.0770544,0.6646,351.165,21.4911,477.185,0,3488.78,65.2763
