RunNumber, Noise_dB, Noise[mV], NoiseStd[mV], AvgNoise[mV], MaxAmpl[mV], MaxAmplStd[mV], AvgMaxAmpl[mV], Area[pVs], AreaStd[pVs], AvgArea[pVs], Width[ns], WidthStd[ns], AvgWidth[ns], Descr
1,0,0.5,0.015,0,7.6,0.3,6.5,0,0,0,0,0,0,50mVrange_0.1
2,0,0.5,0.015,0,19.7,0.3,18.7,0,0,0,0,0,0,50mVrange_0.3
3,0,0.5,0.015,0,32,0.3,31.1,0,0,0,0,0,0,50mVrange_0.5
4,0,0.5,0.015,0,45,0.3,43.7,0,0,0,0,0,0,50mVrange_0.7
5,0,0.5,0.015,0,47,0.3,46.4,0,0,0,0,0,0,50mVrange_0.75
6,0,0.5,0.015,0,50,0.3,49.3,0,0,0,0,0,0,50mVrange_0.80
7,0,0.7,0.015,0,50.5,0.4,49.3,0,0,0,0,0,0,100mVrange_0.80
8,0,0.7,0.015,0,62.7,0.4,61.7,0,0,0,0,0,0,100mVrange_1.0
9,0,0.7,0.015,0,81.9,0.8,80.4,0,0,0,0,0,0,100mVrange_1.3
10,0,0.7,0.015,0,89.4,0.4,86.8,0,0,0,0,0,0,100mVrange_1.4
11,0,0.7,0.015,0,93.3,0.5,92.4,0,0,0,0,0,0,100mVrange_1.5
12,0,0.7,0.015,0,99.3,0.5,98.1,0,0,0,0,0,0,100mVrange_1.6
13,0,1.6,0.03,0,100.5,0.9,96.9,0,0,0,0,0,0,200mVrange_1.6
14,0,1.6,0.03,0,125.3,0.8,121.4,0,0,0,0,0,0,200mVrange_2.0
15,0,1.6,0.03,0,149.8,0.9,146.5,0,0,0,0,0,0,200mVrange_2.4
16,0,1.6,0.03,0,175,1,171.4,0,0,0,0,0,0,200mVrange_2.8
17,0,1.6,0.03,0,199.3,1,196.1,0,0,0,0,0,0,200mVrange_3.2
18,0,4.7,0.1,0,202.4,2.2,191.3,0,0,0,0,0,0,500mVrange_3.2
19,0,4.7,0.1,0,226,2.3,214,0,0,0,0,0,0,500mVrange_3.6
20,0,4.7,0.1,0,320,2.7,311,0,0,0,0,0,0,500mVrange_0.6
21,0,4.7,0.1,0,438,2.4,418,0,0,0,0,0,0,500mVrange_0.8
22,0,4.7,0.1,0,498,2.8,489,0,0,0,0,0,0,500mVrange_0.95
23,0,7.5,0.15,0,505,3.9,489,0,0,0,0,0,0,1Vrange_0.95
24,0,7.5,0.15,0,676,4,662,0,0,0,0,0,0,1Vrange_1.3
25,0,7.5,0.15,0,780,5,768,0,0,0,0,0,0,1Vrange_1.5
26,0,7.5,0.15,0,860,6,821,0,0,0,0,0,0,1Vrange_1.7
27,0,7.5,0.15,0,955,6,940,0,0,0,0,0,0,1Vrange_1.9
28,0,7.5,0.15,0,996,6,982,0,0,0,0,0,0,1Vrange_1.97
,,,,,,,,,,,,,,
