RunNumber[n],Noise_dB, Noise[mV], NoiseStd[mV], AvgNoise[mV], MaxAmpl[mV], MaxAmplStd[mV], AvgMaxAmpl[mV], Area[pVs], AreaStd[pVs], AvgArea[pVs], Width[ns], WidthStd[ns], AvgWidth[ns], Descr
1,0,0,0,0,7.1,0.14,0,0,0,0,0,0,0,50mVrange_0.1
2,0,0,0,0,18.6,0.05,0,0,0,0,0,0,0,50mVrange_0.3
3,0,0,0,0,30.6,0.16,0,0,0,0,0,0,0,50mVrange_0.5
4,0,0,0,0,42.2,0.13,0,0,0,0,0,0,0,50mVrange_0.7
5,0,0,0,0,45.3,0.13,0,0,0,0,0,0,0,50mVrange_0.75
6,0,0,0,0,48.2,0.15,0,0,0,0,0,0,0,50mVrange_0.80
7,0,0,0,0,48.2,0.2,0,0,0,0,0,0,0,100mVrange_0.80
8,0,0,0,0,60,0.25,0,0,0,0,0,0,0,100mVrange_1.0
9,0,0,0,0,77.3,0.24,0,0,0,0,0,0,0,100mVrange_1.3
10,0,0,0,0,82.9,0.27,0,0,0,0,0,0,0,100mVrange_1.4
11,0,0,0,0,89.4,0.21,0,0,0,0,0,0,0,100mVrange_1.5
12,0,0,0,0,95,0.25,0,0,0,0,0,0,0,100mVrange_1.6
13,0,0,0,0,95.1,0.4,0,0,0,0,0,0,0,200mVrange_1.6
14,0,0,0,0,120,0.15,0,0,0,0,0,0,0,200mVrange_2.0
15,0,0,0,0,143,0.12,0,0,0,0,0,0,0,200mVrange_2.4
16,0,0,0,0,165,0.5,0,0,0,0,0,0,0,200mVrange_2.8
17,0,0,0,0,189,0.56,0,0,0,0,0,0,0,200mVrange_3.2
18,0,0,0,0,193,2.7,0,0,0,0,0,0,0,500mVrange_3.2
19,0,0,0,0,216,2.5,0,0,0,0,0,0,0,500mVrange_3.6
20,0,0,0,0,305,1.2,0,0,0,0,0,0,0,500mVrange_0.6
21,0,0,0,0,400,0.15,0,0,0,0,0,0,0,500mVrange_0.8
22,0,0,0,0,475,0.16,0,0,0,0,0,0,0,500mVrange_0.95
23,0,0,0,0,474,2.6,0,0,0,0,0,0,0,1Vrange_0.95
24,0,0,0,0,650,2.15,0,0,0,0,0,0,0,1Vrange_1.3
25,0,0,0,0,745,0.94,0,0,0,0,0,0,0,1Vrange_1.5
26,0,0,0,0,839,0.8,0,0,0,0,0,0,0,1Vrange_1.7
27,0,0,0,0,937,2.1,0,0,0,0,0,0,0,1Vrange_1.9
28,0,0,0,0,965,0.4,0,0,0,0,0,0,0,1Vrange_1.97
