RunNumber, Noise_dB, Noise[mV], NoiseStd[mV], AvgNoise[mV], MaxAmpl[mV], MaxAmplStd[mV], AvgMaxAmpl[mV], Area[pVs], AreaStd[pVs], AvgArea[pVs], Width[ns], WidthStd[ns], AvgWidth[ns], Picture
1, -1, 0.270, 0.019, 10.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, none
2, 0, 0.274, 0.020, 0.042, 58, 0.08, 58.8, 460, 2, 460, 8.1, 0.08, 8.0, C3noise00000.txt
3, 16, 0.742, 0.07, 0.046, 59, 0.6, 58.9, 460, 6.1, 460, 8.1, 0.086, 8.0, C3noise00001.txt
4, 17, 0.822, 0.08, 0.05, 59, 0.64, 58.8, 460, 6.7, 460, 8.1, 0.087, 8.0, C3noise00002.txt
5, 18, 0.91, 0.09, 0.056, 59, 0.7, 58.8, 460, 7.4, 460, 8.1, 0.088, 8.0, C3noise00003.txt
6, 19, 1.01, 0.1, 0.06, 59, 0.77, 58.7, 460, 8.2, 460, 8.1, 0.09, 8.0, C3noise00004.txt
7, 20, 1.13, 0.11, 0.061, 59, 0.84, 58.9, 460, 9.1, 460, 8.1, 0.09, 8.0, C3noise00005.txt
8, 21, 1.25, 0.12, 0.06, 59, 0.93, 58.9, 460, 10, 460, 8.1, 0.09, 8.0, C3noise00006.txt
9, 22, 1.43, 0.13, 0.062, 59, 1, 58.9, 460, 11, 460, 8.1, 0.09, 8.0, C3noise00007.txt
10, 23, 1.66, 0.15, 0.07, 60, 1.1, 58.9, 460, 13, 460, 8.1, 0.094, 8.0, C3noise00008.txt
11, 24, 1.89, 0.16, 0.075, 60, 1.3, 58.8, 460, 14, 460, 8.1, 0.097, 8.0, C3noise00009.txt
12, 25, 2.15, 0.19, 0.072, 60, 1.4, 58.8, 460, 16, 460, 8.1, 0.1, 8.0, C3noise00010.txt
13, 26, 2.47, 0.21, 0.095, 60, 1.6, 59, 460, 17, 460, 8.0, 0.11, 8.0, C3noise00011.txt
14, 27, 2.80, 0.25, 0.11, 61, 1.7, 59, 460, 20, 460, 8.0, 0.11, 8.0, C3noise00012.txt
15, 28, 3.20, 0.27, 0.12, 61, 1.9, 58.8, 460, 22, 459, 8.0, 0.12, 8.0, C3noise00013.txt
16, 29, 3.59, 0.31, 0.13, 61, 2.2, 58.6, 460, 24, 459, 8.0, 0.12, 8.0, C3noise00014.txt
17, 30, 4.07, 0.36, 0.17, 62, 2.4, 58.8, 460, 27, 459, 8.0, 0.13, 8.0, C3noise00015.txt
18, 31, 4.53, 0.39, 0.18, 62, 2.7, 59.2, 460, 31, 459, 8.0, 0.14, 8.0, C3noise00016.txt
19, 32, 5.04, 0.42, 0.21, 63, 3, 59.1, 460, 34, 459, 8.0, 0.16, 8.0, C3noise00017.txt
20, 33, 5.70, 0.48, 0.27, 63, 3.4, 59.0, 460, 39, 459, 8.0, 0.17, 8.0, C3noise00018.txt
21, 34, 6.59, 0.52, 0.24, 64, 3.8, 59.1, 460, 44, 459, 8.0, 0.19, 8.0, C3noise00019.txt
22, 35, 7.44, 0.59, 0.29, 65, 4.2, 59.6, 460, 49, 460, 7.9, 0.21, 8.0, C3noise00020.txt
23, 36, 8.28, 0.68, 0.31, 66, 4.7, 58.7, 460, 55, 459, 7.9, 0.23, 8.0, C3noise00021.txt
24, 37, 9.24, 0.73, 0.33, 67, 5.1, 58.8, 460, 61, 460, 8.0, 0.25, 8.0, C3noise00022.txt
25, 38, 10.4, 0.87, 0.34, 68, 5.7, 58.9, 460, 68, 459, 7.9, 0.29, 8.0, C3noise00023.txt
26, 39, 11.6, 0.92, 0.38, 69, 6.3, 58.3, 460, 77, 456, 8.1, 0.33, 8.0, C3noise00024.txt
