RunNumber, Noise_dB, Noise[mV], NoiseStd[mV], AvgNoise[mV], MaxAmpl[mV], MaxAmplStd[mV], AvgMaxAmpl[mV], Area[pVs], AreaStd[pVs], AvgArea[pVs], Width[ns], WidthStd[ns], AvgWidth[ns], Picture
1, -1, 0.270, 0.019, 10.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, none
2, 0, 0.274, 0.020, 0.042, 60.0, 0.44, 58.8, 460, 1.7, 460, 8.0, 0.01, 8.0, C3noise00000.txt
3, 16, 0.742, 0.07, 0.046, 60.7, 0.7, 58.9, 460, 3, 460, 8.0, 0.013, 8.0, C3noise00001.txt
4, 17, 0.822, 0.08, 0.05, 60.8, 0.76, 58.8, 460, 3.2, 460, 8.0, 0.013, 8.0, C3noise00002.txt
5, 18, 0.91, 0.09, 0.056, 60.9, 0.8, 58.8, 460, 3.7, 460, 8.0, 0.014, 8.0, C3noise00003.txt
6, 19, 1.01, 0.1, 0.06, 61.1, 0.88, 58.7, 460, 4, 460, 8.0, 0.015, 8.0, C3noise00004.txt
7, 20, 1.13, 0.11, 0.061, 61.5, 1.04, 58.9, 460, 5, 460, 8.0, 0.016, 8.0, C3noise00005.txt
8, 21, 1.25, 0.12, 0.06, 61.6, 1.1, 58.9, 460, 5, 460, 8.0, 0.017, 8.0, C3noise00006.txt
9, 22, 1.39, 0.13, 0.062, 61.9, 1.1, 58.9, 460, 5, 460, 8.0, 0.019, 8.0, C3noise00007.txt
10, 23, 1.57, 0.15, 0.07, 62.2, 1.4, 58.9, 460, 5, 460, 8.0, 0.02, 8.0, C3noise00008.txt
11, 24, 1.75, 0.16, 0.075, 62.7, 1.6, 58.8, 460, 7, 460, 8.0, 0.021, 8.0, C3noise00009.txt
12, 25, 1.95, 0.19, 0.072, 63.3, 2.0, 58.8, 460, 7, 460, 8.0, 0.025, 8.0, C3noise00010.txt
13, 25, 2.31, 0.19, 0.085, 63.3, 2.0, 58.8, 460, 7, 460, 8.0, 0.025, 8.0, C3noise00010.txt
14, 26, 2.58, 0.21, 0.095, 63.9, 2.2, 59, 460, 8, 460, 8.0, 0.026, 8.0, C3noise00011.txt
15, 27, 2.90, 0.25, 0.11, 64.7, 2.6, 59, 460, 9, 460, 8.0, 0.03, 8.0, C3noise00012.txt
16, 28, 3.24, 0.27, 0.12, 65.6, 3, 58.8, 460, 9, 459, 8.01, 0.033, 8.0, C3noise00013.txt
17, 29, 3.59, 0.31, 0.13, 66.0, 3, 58.6, 460, 11, 459, 8.01, 0.036, 8.0, C3noise00014.txt
18, 30, 4.07, 0.36, 0.17, 67.4, 3.2, 58.8, 460, 14, 459, 8.01, 0.04, 8.0, C3noise00015.txt
19, 31, 4.53, 0.39, 0.18, 68.6, 3.2, 59.2, 460, 15, 459, 8.02, 0.045, 8.0, C3noise00016.txt
20, 32, 5.04, 0.42, 0.21, 69.7, 3.1, 59.1, 460, 17, 459, 8.02, 0.05, 8.0, C3noise00017.txt
21, 33, 5.70, 0.48, 0.27, 70.4, 3.3, 59.0, 460, 18, 459, 8.03, 0.06, 8.0, C3noise00018.txt
22, 33, 5.88, 0.48, 0.19, 70.4, 3.3, 59.0, 460, 18, 459, 8.03, 0.06, 8.0, C3noise00018.txt
23, 34, 6.59, 0.52, 0.24, 71.7, 3.1, 59.1, 460, 21, 459, 8.03, 0.06, 8.0, C3noise00019.txt
24, 35, 7.44, 0.59, 0.29, 72.8, 3.9, 59.6, 460, 24, 460, 8.04, 0.26, 8.0, C3noise00020.txt
25, 36, 8.28, 0.68, 0.31, 74.3, 4.4, 58.7, 459, 27, 459, 7.97, 0.8, 8.0, C3noise00021.txt
26, 37, 9.24, 0.73, 0.33, 76.0, 5.0, 58.8, 459, 30, 460, 7.7, 1.5, 8.0, C3noise00022.txt
27, 38, 10.4, 0.87, 0.34, 77.7, 5.6, 58.9, 459, 33, 459, 6.6, 3.2, 8.0, C3noise00023.txt
28, 39, 11.6, 0.92, 0.38, 79.9, 6.2, 58.3, 457, 37, 456, 4.94, 3.84, 8.0, C3noise00024.txt
29, 40, 13.0, 1.02, 0.44, 82.8, 7.2, 58.8, 456, 42, 459, 3.67, 3.9, 8.0, C3noise00025.txt
