RunNumber, Noise_dB, Noise[mV], NoiseStd[mV], AvgNoise[mV], MaxAmpl[mV], MaxAmplStd[mV], AvgMaxAmpl[mV], Area[pVs], AreaStd[pVs], AvgArea[pVs], Width[ns], WidthStd[ns], AvgWidth[ns], Descr
1,0,0,0,0,0,0,0,0,0,0,0,0,0,30
2,0,0,0,0,0,0,0,0,0,0,0,0,0,40
3,0,0,0,0,0,0,0,0,0,0,0,0,0,50
4,0,0,0,0,0,0,0,0,0,0,0,0,0,70
5,0,0,0,0,0,0,0,0,0,0,0,0,0,100
6,0,0,0,0,0,0,0,0,0,0,0,0,0,150
7,0,0,0,0,0,0,0,0,0,0,0,0,0,200
8,0,0,0,0,0,0,0,0,0,0,0,0,0,300
9,0,0,0,0,0,0,0,0,0,0,0,0,0,400
10,0,0,0,0,0,0,0,0,0,0,0,0,0,600
11,0,0,0,0,0,0,0,0,0,0,0,0,0,800
12,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
