RunNumber, Noise_dB, Noise[mV], NoiseStd[mV], AvgNoise[mV], MaxAmpl[mV], MaxAmplStd[mV], AvgMaxAmpl[mV], Area[pVs], AreaStd[pVs], AvgArea[pVs], Width[ns], WidthStd[ns], AvgWidth[ns], Descr
1,0,0,0,0,6.24,0.29,0,5.3,0.7,0,1.42,0.18,0,0.39
2,0,0,0,0,8.7,0.31,0,18.6,0.53,0,1.39,0.08,0,0.65
3,0,0,0,0,10.4,0.36,0,23.1,0.54,0,1.4,0.07,0,0.9
4,0,0,0,0,14,0.2,0,31.2,0.52,0,1.61,0.07,0,1.2
5,0,0,0,0,15.4,0.2,0,35,0.5,0,1.7,0.08,0,1.5
6,0,0,0,0,17.4,0.2,0,44.3,0.52,0,2.1,0.06,0,2
7,0,0,0,0,18.36,0.2,0,53,0.52,0,2.6,0.11,0,2.5
8,0,0,0,0,18.8,0.17,0,68,0.6,0,3.1,0.09,0,3
9,0,0,0,0,18.9,0.17,0,86,0.6,0,4.06,0.08,0,4
10,0,0,0,0,19.3,0.16,0,128,0.7,0,6.29,0.08,0,6
11,0,0,0,0,19.5,0.17,0,167,0.75,0,8.4,0.07,0,8
12,0,0,0,0,19.6,0.16,0,203,0.86,0,10.1,0.09,0,10
13,0,0,0,0,19.5,0.15,0,257,0.8,0,13.2,0.11,0,13
14,0,0,0,0,19.6,0.14,0,391,0.9,0,20.3,0.08,0,20
15,0,0,0,0,19.6,0.13,0,585,1.3,0,30.3,0.08,0,30
16,0,0,0,0,19.7,0.04,0,773,2.9,0,40.2,0.08,0,40
17,0,0,0,0,19.6,0.13,0,957,1.53,0,50.2,0.07,0,50
18,0,0,0,0,0,0,0,0,0,0,0,0,0,70
19,0,0,0,0,0,0,0,0,0,0,0,0,0,100
20,0,0,0,0,0,0,0,0,0,0,0,0,0,150
21,0,0,0,0,0,0,0,0,0,0,0,0,0,200
22,0,0,0,0,0,0,0,0,0,0,0,0,0,300
23,0,0,0,0,0,0,0,0,0,0,0,0,0,400
24,0,0,0,0,0,0,0,0,0,0,0,0,0,600
25,0,0,0,0,0,0,0,0,0,0,0,0,0,800
26,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
