RunNumber, Noise_dB, Noise[mV], NoiseStd[mV], AvgNoise[mV], MaxAmpl[mV], MaxAmplStd[mV], AvgMaxAmpl[mV], Area[pVs], AreaStd[pVs], AvgArea[pVs], Width[ns], WidthStd[ns], AvgWidth[ns], Descr
1,0,0.25,0.02,0.02,9.9,0.3,9.6,4.6,0.6,4.5,0.57,0.02,0.55,0.39
2,0,0.35,0.02,0.02,16.6,0.4,16.6,8.4,0.6,8.3,0.59,0.01,0.6,0.65
3,0,0.36,0.02,0.02,17.3,0.5,17.2,10.6,0.6,10.6,0.72,0.13,0.69,0.9
4,0,0.36,0.03,0.025,18.1,0.4,17.9,18.8,0.7,18.8,1.1,0.01,1.1,1.2
5,0,0.37,0.03,0.02,18.4,0.4,18.1,24,0.7,24,1.4,0.01,1.4,1.5
6,0,0.37,0.03,0.02,18.23,0.4,18.2,33.8,0.7,33.8,1.9,0.01,1.9,2
7,0,0.37,0.03,0.02,18.6,0.3,18.2,42.9,0.7,42.8,2.4,0.01,2.4,2.5
8,0,0.37,0.03,0.02,18.7,0.3,18.2,52.3,1.2,52.5,2.9,0.01,2.9,3
9,0,0.37,0.03,0.02,19,0.3,18.5,71.3,1.2,70.5,3.9,0.01,3.9,4
10,0,0.37,0.03,0.02,19.5,0.3,18.9,113,1.2,113,6.1,0.01,6.1,6
11,0,0.37,0.03,0.02,19.7,0.3,19,152,1.2,153,8.2,0.02,8.2,8
12,0,0.37,0.03,0.02,19.7,0.3,19,185,1.6,185,9.9,0.01,9.9,10
13,0,0.37,0.03,0.02,19.8,0.2,19,244,2.1,244,13,0.01,13,13
14,0,0.37,0.03,0.02,19.9,0.2,19,360,7.2,360,20.1,0.01,20.1,20
15,0,0.37,0.03,0.02,20,0.2,19,550,7.5,550,30.3,0.01,30.1,30
16,0,0.37,0.03,0.02,20,0.2,19,750,6.9,750,40,0.02,40,40
17,0,0.37,0.03,0.02,20.1,0.2,19,940,7,940,50,0.02,50,50
18,0,0.37,0.03,0.02,20.2,0.2,19,1300,17,1300,70.1,0.03,70.1,70
19,0,0.37,0.03,0.02,20.2,0.2,19,1800,17,1850,99,0.02,99,100
20,0,0.37,0.03,0.02,20.3,0.2,19,2850,17,2850,151,0.02,151,150
21,0,0.37,0.03,0.02,20.3,0.3,19,3750,33,3750,201,0.03,201,200
22,0,0.37,0.03,0.02,20.5,0.3,19,5670,34,5670,300,0.04,300,300
23,0,0.37,0.03,0.02,20.5,0.3,19,7400,65,7400,399,0.05,400,400
24,0,0.37,0.03,0.02,20.4,0.3,19,11200,64,11200,598,0.08,598,600
25,0,0.37,0.03,0.02,20.5,0.3,19,14700,145,14700,797,0.11,797,800
26,0,0.37,0.03,0.02,20.6,0.3,19,18700,138,18700,998,0.05,998,1000
