RunNumber, Noise_dB, Noise[mV], NoiseStd[mV], AvgNoise[mV], MaxAmpl[mV], MaxAmplStd[mV], AvgMaxAmpl[mV], Area[pVs], AreaStd[pVs], AvgArea[pVs], Width[ns], WidthStd[ns], AvgWidth[ns], Descr
1,0,0.15,0.02,0.02,4.1,0.2,4,4.7,0.6,4.6,1.26,0.07,1.3,0.39
2,0,0.15,0.02,0.02,6.6,0.2,6.5,7.7,0.6,7.7,1.3,0.05,1.17,0.65
3,0,0.21,0.02,0.01,7.9,0.23,7.9,10.1,0.6,10.1,1.4,0.05,1.2,0.9
4,0,0.21,0.02,0.01,11.6,0.2,11.5,19,0.6,18,1.5,0.04,1.4,1.2
5,0,0.21,0.02,0.01,13.4,0.2,13.4,23,0.7,23.2,1.7,0.03,1.6,1.5
6,0,0.21,0.02,0.01,15.3,0.2,15.3,32.3,0.7,32.3,2,0.04,2,2
7,0,0.21,0.02,0.01,16.5,0.2,16.4,41.2,1.1,40.5,2.5,0.03,2.4,2.5
8,0,0.21,0.02,0.01,17.3,0.2,17.2,51.9,1.2,48.7,3,0.04,3,3
9,0,0.21,0.02,0.01,18,0.2,17.9,70.5,1.1,69,3.9,0.04,4,4
10,0,0.21,0.02,0.01,18.9,0.2,18.7,111,1.2,110,6.1,0.04,6.2,6
11,0,0.21,0.02,0.01,19.1,0.2,18.8,152,1.6,152,8.2,0.04,8.2,8
12,0,0.21,0.02,0.01,19.2,0.2,18.8,184,1.7,184,9.8,0.03,9.9,10
13,0,0.21,0.02,0.01,19.2,0.2,18.8,242,2,242,13,0.03,13,13
14,0,0.21,0.02,0.01,19.3,0.2,18.8,357,7.1,357,20,0.03,20,20
15,0,0.21,0.02,0.01,19.4,0.14,19,550,7.4,550,30,0.03,30.1,30
16,0,0.21,0.02,0.01,19.4,0.13,19,740,7,740,40,0.03,40,40
17,0,0.21,0.02,0.01,19.5,0.13,19,930,7,930,50,0.03,50,50
18,0,0.21,0.02,0.01,19.5,0.13,19,1300,18,1300,70,0.04,70,70
19,0,0.21,0.02,0.01,19.6,0.13,19,1850,17,1850,100,0.04,100,100
20,0,0.21,0.02,0.01,19.6,0.13,19,2850,17,2849,151,0.04,151,150
21,0,0.21,0.02,0.01,19.7,0.1,19,3740,33,3740,201,0.04,201,200
22,0,0.21,0.02,0.01,19.7,0.1,19,5660,31,5660,300,0.05,300,300
23,0,0.21,0.02,0.01,19.7,0.12,19,7380,65,7380,400,0.06,400,400
24,0,0.21,0.02,0.01,19.7,0.1,19,11200,65,11200,598,0.09,598,600
25,0,0.21,0.02,0.01,19.8,0.1,19,14800,152,14700,797,0.11,797,800
26,0,0.21,0.02,0.01,19.7,0.1,19,18600,143,18600,998,0.05,998,1000
