LECROYWR104Xi,20182,Waveform
Segments,1,SegmentSize,1001
Segment,TrigTime,TimeSinceSegment1
#1,18-Mar-2015 18:20:22,0                 
Time,Ampl
-2.28e-008,-0.00111145
-2.27e-008,-0.00119084
-2.26e-008,-0.00123798
-2.25e-008,-0.00128015
-2.24e-008,-0.00130248
-2.23e-008,-0.00125038
-2.22e-008,-0.00129256
-2.21e-008,-0.00122309
-2.2e-008,-0.00127519
-2.19e-008,-0.00123798
-2.18e-008,-0.00116107
-2.17e-008,-0.0010916
-2.16e-008,-0.00102462
-2.15e-008,-0.00106431
-2.14e-008,-0.0011313
-2.13e-008,-0.00118092
-2.12e-008,-0.00119828
-2.11e-008,-0.0012479
-2.1e-008,-0.00123302
-2.09e-008,-0.00122805
-2.08e-008,-0.00124046
-2.07e-008,-0.00129752
-2.06e-008,-0.00125038
-2.05e-008,-0.00117347
-2.04e-008,-0.00117347
-2.03e-008,-0.00106927
-2.02e-008,-0.00107672
-2.01e-008,-0.00102462
-2e-008,-0.00104447
-1.99e-008,-0.000979962
-1.98e-008,-0.000999809
-1.97e-008,-0.00100973
-1.96e-008,-0.00106927
-1.95e-008,-0.0010271
-1.94e-008,-0.00107176
-1.93e-008,-0.00105935
-1.92e-008,-0.00109656
-1.91e-008,-0.00109656
-1.9e-008,-0.0010792
-1.89e-008,-0.00106183
-1.88e-008,-0.00103702
-1.87e-008,-0.00107672
-1.86e-008,-0.00106183
-1.85e-008,-0.00113874
-1.84e-008,-0.00112137
-1.83e-008,-0.00117595
-1.82e-008,-0.00116851
-1.81e-008,-0.00112882
-1.8e-008,-0.00112882
-1.79e-008,-0.00109905
-1.78e-008,-0.00109408
-1.77e-008,-0.00113626
-1.76e-008,-0.00120324
-1.75e-008,-0.00121565
-1.74e-008,-0.00123302
-1.73e-008,-0.00120076
-1.72e-008,-0.00119084
-1.71e-008,-0.00112385
-1.7e-008,-0.00110153
-1.69e-008,-0.00112137
-1.68e-008,-0.00108168
-1.67e-008,-0.00108664
-1.66e-008,-0.00106183
-1.65e-008,-0.00119332
-1.64e-008,-0.00109408
-1.63e-008,-0.0011958
-1.62e-008,-0.00122805
-1.61e-008,-0.00121565
-1.6e-008,-0.00114618
-1.59e-008,-0.00117347
-1.58e-008,-0.00116355
-1.57e-008,-0.00109656
-1.56e-008,-0.00108168
-1.55e-008,-0.00111393
-1.54e-008,-0.00115114
-1.53e-008,-0.00120821
-1.52e-008,-0.00122061
-1.51e-008,-0.00123302
-1.5e-008,-0.0012479
-1.49e-008,-0.00125038
-1.48e-008,-0.0013
-1.47e-008,-0.00133225
-1.46e-008,-0.00129256
-1.45e-008,-0.00121813
-1.44e-008,-0.00111641
-1.43e-008,-0.00117595
-1.42e-008,-0.00115859
-1.41e-008,-0.00119084
-1.4e-008,-0.00118588
-1.39e-008,-0.00121565
-1.38e-008,-0.0011834
-1.37e-008,-0.00120573
-1.36e-008,-0.0012355
-1.35e-008,-0.0012355
-1.34e-008,-0.00116355
-1.33e-008,-0.00111393
-1.32e-008,-0.00105935
-1.31e-008,-0.00106431
-1.3e-008,-0.00112137
-1.29e-008,-0.00113378
-1.28e-008,-0.00111889
-1.27e-008,-0.00111393
-1.26e-008,-0.00116851
-1.25e-008,-0.00112385
-1.24e-008,-0.00107176
-1.23e-008,-0.0010792
-1.22e-008,-0.0010916
-1.21e-008,-0.00105439
-1.2e-008,-0.00106431
-1.19e-008,-0.00112385
-1.18e-008,-0.00117347
-1.17e-008,-0.00112634
-1.16e-008,-0.00109905
-1.15e-008,-0.00110153
-1.14e-008,-0.00112882
-1.13e-008,-0.00114618
-1.12e-008,-0.00114618
-1.11e-008,-0.00118588
-1.1e-008,-0.0011958
-1.09e-008,-0.00118092
-1.08e-008,-0.00117099
-1.07e-008,-0.00108664
-1.06e-008,-0.00110401
-1.05e-008,-0.00108416
-1.04e-008,-0.00112385
-1.03e-008,-0.00108664
-1.02e-008,-0.0010792
-1.01e-008,-0.00114866
-1e-008,-0.00115611
-9.9e-009,-0.00114618
-9.8e-009,-0.00115611
-9.7e-009,-0.00113626
-9.6e-009,-0.00111889
-9.5e-009,-0.00113626
-9.4e-009,-0.00108912
-9.3e-009,-0.00117347
-9.2e-009,-0.00126775
-9.1e-009,-0.00128015
-9e-009,-0.00126031
-8.9e-009,-0.00122061
-8.8e-009,-0.00121317
-8.7e-009,-0.00119084
-8.6e-009,-0.00117843
-8.5e-009,-0.0011958
-8.4e-009,-0.0011313
-8.3e-009,-0.00114618
-8.2e-009,-0.00107176
-8.1e-009,-0.00110649
-8e-009,-0.00106679
-7.9e-009,-0.00111641
-7.8e-009,-0.00111393
-7.7e-009,-0.0010792
-7.6e-009,-0.00108416
-7.5e-009,-0.00112385
-7.4e-009,-0.00107176
-7.3e-009,-0.00119828
-7.2e-009,-0.00123053
-7.1e-009,-0.00122061
-7e-009,-0.00125286
-6.9e-009,-0.00120076
-6.8e-009,-0.00111145
-6.7e-009,-0.00110153
-6.6e-009,-0.00110153
-6.5e-009,-0.00111145
-6.4e-009,-0.00115611
-6.3e-009,-0.00122309
-6.2e-009,-0.00118092
-6.1e-009,-0.00118836
-6e-009,-0.00126775
-5.9e-009,-0.00125782
-5.8e-009,-0.00125782
-5.7e-009,-0.00126775
-5.6e-009,-0.0011437
-5.5e-009,-0.00111889
-5.4e-009,-0.0010271
-5.3e-009,-0.00106431
-5.2e-009,-0.00115114
-5.1e-009,-0.00118092
-5e-009,-0.00126031
-4.9e-009,-0.00123798
-4.8e-009,-0.00120821
-4.7e-009,-0.00120821
-4.6e-009,-0.00120821
-4.5e-009,-0.00118588
-4.4e-009,-0.00117347
-4.3e-009,-0.00115611
-4.2e-009,-0.00108664
-4.1e-009,-0.00108416
-4e-009,-0.00102958
-3.9e-009,-0.00109656
-3.8e-009,-0.00107176
-3.7e-009,-0.0010395
-3.6e-009,-0.00104447
-3.5e-009,-0.00109905
-3.4e-009,-0.00115114
-3.3e-009,-0.00119332
-3.2e-009,-0.0012355
-3.1e-009,-0.00125534
-3e-009,-0.00121565
-2.9e-009,-0.00116851
-2.8e-009,-0.00117595
-2.7e-009,-0.0011958
-2.6e-009,-0.00122309
-2.5e-009,-0.00117595
-2.4e-009,-0.00124294
-2.3e-009,-0.00130744
-2.2e-009,-0.00121069
-2.1e-009,-0.00121069
-2e-009,-0.00115363
-1.9e-009,-0.00107176
-1.8e-009,-0.000997328
-1.7e-009,-0.00094771
-1.6e-009,-0.00104447
-1.5e-009,-0.0011313
-1.4e-009,-0.00119828
-1.3e-009,-0.00128015
-1.2e-009,-0.00131985
-1.1e-009,-0.00142405
-1e-009,-0.00136202
-9e-010,-0.00137691
-8e-010,-0.00126775
-7e-010,-0.00123798
-6e-010,-0.00112634
-5e-010,-0.00114122
-4e-010,-0.00105439
-3e-010,-0.00105439
-2e-010,-0.00109905
-1e-010,-0.00108912
2.15325e-023,-0.00111393
1e-010,-0.00118092
2e-010,-0.00119332
3e-010,-0.00123053
4e-010,-0.00126775
5e-010,-0.00121813
6e-010,-0.0011313
7e-010,-0.00108664
8e-010,-0.00109656
9e-010,-0.00105439
1e-009,-0.000992366
1.1e-009,-0.00102214
1.2e-009,-0.000999809
1.3e-009,-0.000989885
1.4e-009,-0.00108912
1.5e-009,-0.00107672
1.6e-009,-0.00108664
1.7e-009,-0.00113378
1.8e-009,-0.00115859
1.9e-009,-0.00120821
2e-009,-0.00126775
2.1e-009,-0.00138187
2.2e-009,-0.0013645
2.3e-009,-0.00128263
2.4e-009,-0.00126775
2.5e-009,-0.00124046
2.6e-009,-0.00123302
2.7e-009,-0.00121813
2.8e-009,-0.00116107
2.9e-009,-0.00113626
3e-009,-0.0011313
3.1e-009,-0.00110153
3.2e-009,-0.00109656
3.3e-009,-0.00107672
3.4e-009,-0.000989885
3.5e-009,-0.000965076
3.6e-009,-0.000960114
3.7e-009,-0.000992366
3.8e-009,-0.000903053
3.9e-009,-0.000910496
4e-009,-0.000843511
4.1e-009,-0.000870801
4.2e-009,-0.000915458
4.3e-009,-0.000955152
4.4e-009,-0.00105935
4.5e-009,-0.00108912
4.6e-009,-0.00105687
4.7e-009,-0.00104198
4.8e-009,-0.00103206
4.9e-009,-0.00100725
5e-009,-0.000960114
5.1e-009,-0.000975
5.2e-009,-0.000970038
5.3e-009,-0.00100973
5.4e-009,-0.00101469
5.5e-009,-0.00101221
5.6e-009,-0.00106431
5.7e-009,-0.00112385
5.8e-009,-0.00116107
5.9e-009,-0.00121069
6e-009,-0.00119084
6.1e-009,-0.00114618
6.2e-009,-0.00117843
6.3e-009,-0.00122061
6.4e-009,-0.0012876
6.5e-009,-0.00132481
6.6e-009,-0.00126031
6.7e-009,-0.00124542
6.8e-009,-0.00115114
6.9e-009,-0.00108416
7e-009,-0.0010395
7.1e-009,-0.00107672
7.2e-009,-0.00113626
7.3e-009,-0.00109408
7.4e-009,-0.0010792
7.5e-009,-0.00109408
7.6e-009,-0.00114618
7.7e-009,-0.00110897
7.8e-009,-0.00104198
7.9e-009,-0.000967557
8e-009,-0.000831107
8.1e-009,-0.000853435
8.2e-009,-0.000942748
8.3e-009,-0.000979962
8.4e-009,-0.00109408
8.5e-009,-0.00115611
8.6e-009,-0.00122309
8.7e-009,-0.00119828
8.8e-009,-0.00111641
8.9e-009,-0.00110649
9e-009,-0.00109656
9.1e-009,-0.00116355
9.2e-009,-0.00123053
9.3e-009,-0.00119332
9.4e-009,-0.00114618
9.5e-009,-0.00114122
9.6e-009,-0.00117595
9.7e-009,-0.00121069
9.8e-009,-0.00127023
