MaxAmpl[mV], MaxAmplStd[mV], Area[pVs], AreaStd[pVs], Width[ns], WidthStd[ns] MaxAmpl[mV], MaxAmplStd[mV], Area[pVs], AreaStd[pVs], Width[ns], WidthStd[ns]
49.3, 0.8, 19.8, 0.4, 0.44, 0.01, 17, 0.39, 13, 1.1, 1.4, 0.057
53, 0.5, 28, 0.8, 0.6, 0.01, 24, 0.42, 22, 1.2, 1.4, 0.08
55, 0.6, 41, 0.7, 0.8, 0.01, 32, 0.41, 34, 1.3, 1.6, 0.06
56, 0.6, 52, 0.8, 1.0, 0.01, 38, 0.44, 46, 1.4, 1.4, 0.054
56, 0.5, 64, 0.8, 1.2, 0.01, 43, 0.37, 58, 1.4, 1.6, 0.1
56.8, 0.5, 75, 0.7, 1.4, 0.01, 47, 0.44, 69, 1.5, 1.7, 0.07
56.9, 0.5, 87, 0.6, 1.6, 0.01, 49, 0.47, 80, 1.6, 1.8, 0.1
56.8, 0.4, 99, 0.9, 1.8, 0.01, 51, 0.43, 91, 1.7, 2.0, 0.11
56.7, 0.4, 110, 0.9, 2.0, 0.01, 53, 0.45, 101, 1.9, 2.2, 0.056
56.8, 0.4, 122, 0.9, 2.2, 0.01, 54, 0.49, 112, 2.0, 2.3, 0.07
57, 0.4, 140, 0.9, 2.3, 0.01, 55, 0.46, 130, 1.9, 2.4, 0.11
57, 0.4, 169, 0.9, 3.0, 0.01, 56, 0.4, 157, 2.0, 3.0, 0.06
58, 0.4, 225, 0.9, 4.0, 0.01, 56, 0.3, 214, 1.9, 4.1, 0.07
58.5, 0.4, 340, 1.4, 6.0, 0.01, 57, 0.32, 324, 1.9, 6.1, 0.08
59, 0.3, 518, 1.8, 9.0, 0.01, 58, 0.23, 493, 2.5, 9.0, 0.07
61.8, 0.5, 635, 2.5, 11, 0.01, 58, 0.29, 608, 2.3, 11, 0.63
61.8, 0.9, 692, 2.5, 12. 0.01, 58, 0.22, 661, 2.5, 12, 0.1
61.8, 0.5, 867, 2.9, 15, 0.01, 58, 0.28, 836, 3, 15, 0.06
61.8, 0.5, 1155, 4, 20, 0.01, 58, 0.27, 1113, 3.3, 20, 0.07
61.8, 0.5, 1727, 6, 30, 0.01, 58, 0.25, 1676, 4.7, 30, 0.07
61.8, 0.6, 2318, 6, 40, 0.02, 58, 0.05, 2236, 5.3, 40, 0.08
61.8, 0.05, 2593, 7, 45, 0.01, 58, 0.05, 2527, 7.2, 45, 0.07
61.8, 0.05, 2771, 8, 48, 0.02, 58, 0.05, 2695, 6.7, 48, 0.08
61.8, 0.05, 2888, 10, 50, 0.02, 58, 0.08, 2812, 7.8, 50, 0.08
61.8, 0.5, 3485, 10, 60, 0.02, 58, 0.2, 3373, 8.6, 9.2, 0.08
61.8, 0.5, 4025, 17, 70, 0.03, 58, 0.37, 3938, 7.3, 19, 0.86
61.8, 0.5, 52210, 16, 90, 0.04, 58, 0.21, 5057, 8.5, 39, 0.09
