Run	Delay[s]	Correlation
0	0	0.11752
1	12	0.177315
2	25	0.242637
3	39	0.129183
4	52	0.212323
5	65	0.14608
6	82	0.186761
7	99	0.318879
8	113	0.362977
9	129	0.312406
10	148	0.133316
11	163	0.327351
12	178	0.224982
13	194	0.185049
14	208	0.207971
15	226	0.270857
16	241	0.299501
17	256	0.163391
18	272	0.264205
19	289	0.168537
20	305	0.208012
21	321	0.221307
22	337	0.407728
23	353	0.235657
24	368	0.190843
25	381	0.270871
26	395	0.218879
27	408	0.230354
28	423	0.247573
29	438	0.17898
30	453	0.231715
31	470	0.294301
32	487	0.259225
33	502	0.322375
34	516	0.294526
35	529	0.335446
36	542	0.284382
37	556	0.454744
38	571	0.323005
39	586	0.311326
40	601	0.397495
41	616	0.311569
42	631	0.348867
43	645	0.317747
44	662	0.34563
45	676	0.405929
46	692	0.412426
47	708	0.352857
48	724	0.504481
49	739	0.45106
50	755	0.560976
51	772	0.541013
52	789	0.462645
53	804	0.466174
54	819	0.516793
55	832	0.448981
56	846	0.632053
57	860	0.506104
58	877	0.58695
59	894	0.553541
60	910	0.526814
61	929	0.493446
62	944	0.827443
63	958	0.591344
64	971	0.606775
65	989	0.633707
66	1006	0.82975
67	1022	0.641734
68	1037	0.69621
69	1052	0.751674
70	1068	0.861054
71	1082	0.779768
72	1098	0.735052
73	1113	0.745304
74	1127	0.958512
75	1143	0.899263
76	1157	0.902752
77	1171	0.861515
78	1185	0.86013
79	1201	1.22816
80	1218	0.960001
81	1233	0.918594
82	1248	1.08198
83	1263	0.953724
84	1278	0.912308
85	1291	1.06013
86	1306	1.57876
87	1322	1.0047
88	1340	1.35158
89	1356	1.3178
90	1373	1.10726
91	1388	1.02375
92	1404	1.04659
93	1419	1.88591
94	1437	1.27228
95	1454	1.08908
96	1469	1.32123
97	1483	1.36327
98	1499	1.39477
99	1515	1.32314
100	1531	1.2672
101	1547	1.46417
102	1562	1.56024
103	1577	1.27805
104	1597	1.36211
105	1611	1.6291
106	1630	1.64785
107	1648	1.40693
108	1664	1.28056
109	1680	1.48427
110	1694	1.4572
111	1710	1.45444
112	1728	1.41496
113	1742	1.63866
114	1757	1.51339
115	1772	1.87442
116	1791	2.02942
117	1807	1.853
118	1824	1.77053
119	1839	1.88541
120	1856	2.31384
121	1871	1.87965
122	1887	2.04085
123	1903	2.30065
124	1922	1.58629
125	1942	2.00687
126	1960	1.91061
127	1976	2.58881
128	1995	2.45169
129	2012	2.1736
130	2028	2.1267
131	2046	2.34019
132	2064	2.69259
133	2081	2.16129
134	2097	2.03326
135	2114	2.38765
136	2132	2.3412
137	2149	2.18712
138	2166	2.05008
139	2184	2.10417
140	2201	2.42321
141	2220	2.13594
142	2238	2.95271
143	2254	2.42747
144	2272	2.9026
145	2287	3.08874
146	2306	2.33403
147	2324	2.68701
148	2342	2.9329
149	2361	2.76792
150	2377	3.19028
151	2397	2.26416
152	2415	2.06096
153	2431	2.77277
154	2449	2.12134
155	2469	3.01657
156	2488	2.11224
157	2507	2.24725
158	2528	2.38862
159	2550	2.75682
160	2569	3.00285
161	2588	2.91116
162	2611	2.6199
163	2634	2.87753
164	2654	2.15067
165	2676	2.66902
166	2696	2.726
167	2713	2.53966
168	2732	3.11202
169	2746	3.26693
170	2765	3.26636
171	2781	2.2723
172	2801	3.24529
173	2818	2.42038
174	2840	3.03704
175	2858	2.94228
176	2874	2.36323
177	2890	2.51459
178	2910	2.29277
179	2929	2.54747
180	2948	2.77828
181	2970	2.99658
182	2987	2.64544
183	3006	2.68526
184	3026	3.27105
185	3046	2.41246
186	3062	2.15881
187	3081	2.60263
188	3102	2.38479
189	3121	2.32826
190	3140	2.12574
191	3159	2.77799
192	3177	3.04816
193	3196	2.22949
194	3213	2.71168
195	3233	2.31191
196	3253	2.87443
197	3277	2.63849
198	3300	2.14633
199	3320	2.79861
200	3338	1.79122
201	3361	2.61639
202	3382	2.39819
203	3402	2.97966
204	3421	2.75631
205	3442	2.04283
206	3463	3.33085
207	3484	2.94712
208	3507	2.7056
209	3529	2.47907
210	3552	2.26817
211	3571	2.49184
212	3591	2.89632
213	3615	1.97722
214	3634	2.71895
215	3655	2.65533
216	3678	3.05899
217	3700	2.60958
218	3717	1.68457
219	3738	2.7735
