Run	Delay[s]	Correlation
0	0	0.141606
1	-53	0.148484
2	-42	0.176392
3	-30	0.218012
4	-19	0.267263
5	-8	0.118011
6	15	0.120334
7	27	0.135974
8	40	0.117189
9	52	0.156142
10	62	0.206405
11	74	0.141008
12	84	0.291439
13	96	0.156477
14	109	0.164013
15	119	0.154854
16	132	0.246056
17	145	0.199328
18	159	0.147355
19	172	0.137737
20	184	0.233163
21	196	0.217533
22	210	0.462678
23	222	0.284826
24	234	0.38355
25	245	0.181597
26	258	0.209262
27	272	0.36551
28	285	0.238421
29	297	0.231063
30	308	0.239054
31	320	0.321694
32	330	0.292645
33	343	0.304935
34	355	0.292883
35	367	0.226599
36	380	0.316331
37	394	0.405152
38	405	0.351325
39	418	0.489333
40	431	0.342259
41	444	0.316048
42	456	0.316661
43	468	0.297813
44	479	0.308378
45	492	0.346949
46	504	0.515536
47	517	0.370132
48	530	0.544846
49	542	0.398147
50	553	0.375289
51	564	0.669585
52	576	0.45827
53	589	0.383254
54	603	0.461778
55	615	0.462214
56	627	0.457
57	638	0.481342
58	649	0.562964
59	664	0.648352
60	678	0.600315
61	691	0.696085
62	703	0.836737
63	716	0.763454
64	729	0.693051
65	741	0.756309
66	755	0.66604
67	767	0.775417
68	780	0.795278
69	793	0.931096
70	805	1.20985
71	818	0.888313
72	830	0.899969
73	843	0.967899
74	856	0.971105
75	869	1.18067
76	883	0.973559
77	896	1.24972
78	909	1.39594
79	922	1.28019
80	937	1.50489
81	949	1.23271
82	962	1.51241
83	974	1.91827
84	986	1.40745
85	998	1.79364
86	1010	2.16024
87	1025	1.65801
88	1039	1.73489
89	1051	1.82799
90	1063	1.79258
91	1075	2.34294
92	1089	2.157
93	1103	2.37511
94	1115	2.41302
95	1128	3.1136
96	1141	2.62638
97	1155	2.64571
98	1168	3.72773
99	1179	3.12683
100	1195	3.13155
101	1208	2.87268
102	1220	3.43694
103	1232	3.90936
104	1246	4.26072
105	1260	4.11154
106	1273	4.15658
107	1288	4.44977
108	1303	4.33862
109	1317	4.72916
110	1328	4.70378
111	1344	4.55169
112	1357	5.41411
113	1369	5.41854
114	1382	6.01775
115	1395	5.66714
116	1409	6.50215
117	1426	5.88548
118	1443	5.44411
119	1457	6.84486
120	1473	5.86435
121	1489	5.90928
122	1504	6.00569
123	1521	5.80617
124	1539	5.77656
125	1556	7.13246
126	1573	6.5334
127	1589	5.50759
128	1606	6.61378
129	1623	6.282
130	1640	6.47862
131	1659	6.6612
132	1673	6.91317
133	1692	7.69406
134	1713	5.17817
135	1731	6.30537
136	1751	7.3244
137	1774	6.86246
138	1795	6.35587
139	1819	6.40905
